loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20	loc21	loc22	loc23	loc24	loc25	loc26	loc27	loc28	loc29	loc30	loc31	loc32	loc33	loc34	loc35	loc36	loc37	loc38	loc39	loc40	loc41	loc42	loc43	loc44	loc45	loc46	loc47	loc48	loc49	loc50	loc51	loc52	loc53	loc54	loc55	loc56	loc57	loc58	loc59	loc60	loc61	loc62	loc63	loc64	loc65	loc66	loc67	loc68	loc69	loc70	loc71	loc72	loc73	loc74	loc75	loc76	loc77	loc78	loc79	loc80	loc81	loc82	loc83	loc84	loc85	loc86	loc87	loc88	loc89	loc90	loc91	loc92	loc93	loc94	loc95	loc96	loc97	loc98	loc99	loc100
ind1	1	0	0	0	0	1	0	0	0	0	1	1	24	1	3	0	0	1	1	28	1	0	1	1	1	3	20	0	33	1	0	0	1	0	0	57	1	0	29	2	2	2	2	2	1	2	0	1	27	1	0	2	2	2	0	0	20	27	32	2	1	0	1	0	25	1	3	2	2	0	1	26	1	27	0	0	1	3	0	29	3	2	29	0	0	0	0	0	1	0	1	1	19	1	2	1	32	3	0	24
ind2	0	2	1	26	0	1	1	21	22	0	2	1	1	2	0	2	2	1	0	1	1	0	0	31	3	1	30	0	1	1	0	0	1	29	0	0	30	1	1	44	2	1	1	24	2	17	1	0	2	0	0	0	0	0	3	2	2	16	27	1	0	0	1	1	26	1	23	2	30	0	1	1	2	1	0	1	1	0	0	1	2	0	0	2	1	0	0	2	25	0	0	30	0	24	1	1	3	0	1	0
ind3	20	0	2	2	0	2	0	3	1	3	1	1	0	3	22	4	1	1	28	2	0	0	1	0	2	1	0	23	1	1	3	1	2	1	0	0	0	0	1	0	35	1	1	0	28	3	2	1	18	1	1	0	1	1	25	1	2	30	1	1	0	0	1	29	1	1	0	4	1	1	1	3	59	1	0	2	1	0	2	0	27	0	0	1	0	3	1	1	1	1	0	2	0	2	3	0	32	0	50	0
ind4	2	29	0	0	34	1	0	0	23	1	0	2	1	1	1	1	2	0	0	2	2	2	1	0	1	1	2	19	2	21	1	0	2	0	32	0	0	0	1	0	55	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	2	1	2	2	1	1	3	1	1	0	1	1	1	0	22	0	1	3	0	1	25	3	1	1	1	0	25	1	1	1	32	1	2	1	26	1	0	0	2	0
ind5	1	3	1	2	0	1	1	0	2	1	0	0	35	1	1	25	0	3	0	1	1	1	1	1	28	0	1	0	3	0	0	3	1	2	2	22	1	1	26	1	1	0	1	1	1	0	30	2	1	2	17	0	0	0	23	1	1	1	26	22	0	20	0	1	1	0	0	1	0	0	1	0	3	0	1	2	1	25	0	1	0	23	1	30	2	3	1	0	0	0	32	1	1	24	3	23	1	1	1	1
ind6	1	0	3	21	3	1	1	2	17	2	2	43	1	28	3	2	0	1	1	2	26	1	23	0	29	2	1	1	2	1	0	2	2	1	1	31	25	1	0	3	0	0	24	27	0	0	21	1	0	26	2	1	1	1	1	19	0	0	0	0	0	0	2	3	2	18	29	0	0	49	1	2	1	1	23	19	1	1	3	49	22	1	2	0	1	1	2	1	3	24	0	2	1	0	2	3	2	1	1	0
ind7	1	2	0	0	1	1	17	66	1	2	1	0	1	0	21	25	1	1	31	0	1	1	47	1	1	23	30	39	2	1	28	1	1	1	31	25	27	0	26	0	2	20	1	0	0	0	1	1	20	0	0	1	29	0	1	0	23	1	0	23	0	0	0	26	0	1	2	1	3	1	2	1	0	2	0	1	3	3	2	0	1	2	3	2	0	4	1	0	25	26	1	1	0	1	0	1	23	32	0	0
ind8	1	0	1	20	24	24	1	4	20	34	0	1	3	0	2	1	0	36	0	0	1	1	17	1	3	0	0	27	21	1	28	1	1	1	3	21	20	1	1	0	20	1	0	1	23	0	1	27	0	2	2	24	1	0	1	1	0	0	2	1	32	2	21	2	1	0	2	20	0	2	0	1	1	1	1	1	29	3	2	1	26	1	19	25	28	20	0	0	1	0	26	22	0	0	0	1	2	1	2	0
ind9	0	0	1	1	19	1	3	0	1	0	1	1	0	26	22	0	0	0	1	27	1	38	0	0	21	2	27	0	4	19	2	0	25	0	1	1	0	0	2	26	1	64	1	0	0	32	0	2	49	1	26	26	0	27	0	2	1	2	31	1	25	1	0	0	1	31	0	1	1	0	29	2	1	0	30	1	0	3	0	2	0	0	23	1	2	0	1	0	23	1	22	1	0	25	0	32	1	31	0	2
ind10	1	3	1	1	1	22	0	3	0	1	23	2	26	1	1	1	3	1	0	0	0	0	2	2	2	1	0	2	2	1	0	28	0	2	0	0	3	1	2	1	58	0	0	25	0	1	2	29	1	1	0	0	1	2	0	1	0	1	0	2	5	28	0	0	1	1	1	0	0	1	0	0	24	24	28	0	0	0	0	23	26	1	3	29	0	46	0	52	1	1	1	20	0	0	0	33	2	0	1	0
