loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20	loc21	loc22	loc23	loc24	loc25	loc26	loc27	loc28	loc29	loc30	loc31	loc32	loc33	loc34	loc35	loc36	loc37	loc38	loc39	loc40	loc41	loc42	loc43	loc44	loc45	loc46	loc47	loc48	loc49	loc50	loc51	loc52	loc53	loc54	loc55	loc56	loc57	loc58	loc59	loc60	loc61	loc62	loc63	loc64	loc65	loc66	loc67	loc68	loc69	loc70	loc71	loc72	loc73	loc74	loc75	loc76	loc77	loc78	loc79	loc80	loc81	loc82	loc83	loc84	loc85	loc86	loc87	loc88	loc89	loc90	loc91	loc92	loc93	loc94	loc95	loc96	loc97	loc98	loc99	loc100
ind1	1	1	1	2	2	0	0	3	37	1	35	23	1	23	1	0	1	1	25	0	21	1	0	2	22	1	0	2	3	1	1	19	2	1	0	0	2	0	1	0	4	2	0	1	17	2	16	2	3	31	1	0	1	1	0	26	0	0	2	25	0	1	0	26	1	1	25	0	1	0	4	3	25	1	0	1	2	0	1	0	12	0	1	1	32	28	0	3	0	2	27	1	33	2	0	22	0	2	3	1
ind2	32	1	1	1	1	0	1	22	2	0	34	32	0	40	0	1	1	3	24	4	3	1	1	2	0	0	2	0	2	1	57	0	1	0	0	21	21	1	23	29	2	25	1	1	0	31	0	1	28	2	2	1	0	1	2	0	2	3	17	1	20	0	0	0	1	23	0	2	2	31	1	0	32	16	0	1	0	0	3	0	1	24	24	0	1	28	28	1	0	1	2	2	1	19	20	2	0	0	2	1
ind3	20	2	0	23	0	0	1	1	32	1	0	0	0	0	1	1	53	3	2	1	1	31	2	1	1	3	0	0	1	24	25	1	2	27	1	2	1	1	25	1	0	24	0	49	1	0	1	0	2	0	4	41	3	0	0	1	0	0	1	1	1	1	2	0	4	31	30	2	0	1	29	0	29	0	0	0	1	20	0	1	21	1	1	0	1	0	34	1	1	23	2	3	1	0	22	1	26	31	2	0
ind4	1	0	1	0	1	2	26	0	1	1	1	3	0	1	0	1	1	21	1	0	3	0	0	26	0	0	0	0	1	0	1	2	2	0	1	33	28	4	0	3	1	2	18	29	1	2	1	0	20	2	25	24	0	0	1	1	2	1	1	29	0	1	2	0	3	0	2	1	1	1	1	1	0	1	2	1	2	1	1	2	1	19	2	2	0	22	0	35	2	1	0	4	1	0	1	1	44	0	0	0
ind5	1	16	2	21	1	0	1	3	1	0	0	1	34	0	1	1	2	50	0	2	0	2	0	0	18	0	1	1	2	2	0	0	27	20	34	1	1	2	2	2	1	1	1	0	0	21	2	0	51	49	0	0	0	2	22	1	2	1	1	1	1	2	2	2	27	1	21	20	19	24	2	41	2	0	2	0	0	36	36	0	29	3	21	25	1	22	4	0	4	0	28	19	1	1	0	0	1	0	25	1
ind6	1	1	0	1	27	0	0	0	0	0	0	2	0	29	0	53	1	52	1	1	2	1	0	0	0	0	0	0	1	2	1	1	0	0	3	3	1	0	0	1	1	35	30	0	1	1	24	1	2	2	0	31	1	33	44	0	1	2	0	0	1	1	1	1	2	25	1	0	0	1	22	0	0	0	0	0	3	1	5	1	1	2	0	3	2	1	1	33	0	2	2	27	0	2	2	17	0	20	25	1
ind7	0	2	0	1	19	22	2	1	25	30	1	1	3	0	22	2	1	1	23	2	21	1	0	24	1	1	0	1	0	3	1	0	1	0	1	1	0	0	2	0	3	1	4	1	0	1	31	0	2	1	2	1	1	1	0	3	1	1	0	0	0	1	4	20	1	1	1	1	23	3	1	4	1	2	3	31	2	0	1	2	2	2	3	0	0	22	3	1	42	1	1	0	23	33	1	0	1	2	2	0
ind8	2	1	0	2	0	2	2	2	0	26	0	1	0	1	0	26	0	20	17	0	2	19	1	0	3	2	0	1	32	2	1	19	1	1	2	38	0	2	0	0	0	1	1	1	2	0	37	1	20	1	0	1	1	2	0	0	1	1	2	0	1	0	2	0	2	0	2	39	1	1	1	31	1	1	1	0	0	1	0	1	2	0	3	0	4	1	0	0	2	0	20	30	30	23	1	26	2	1	0	1
ind9	1	0	0	1	0	2	0	0	22	33	2	1	1	0	2	0	0	1	0	0	1	1	24	1	2	1	1	0	0	0	0	1	1	0	1	1	0	0	3	2	1	0	0	1	0	1	1	1	1	2	1	26	30	32	2	1	1	0	1	27	1	0	1	0	0	0	1	0	1	27	1	0	1	1	0	1	26	2	2	15	0	1	2	0	46	15	1	2	2	22	24	1	2	1	0	1	0	0	3	1
ind10	0	0	1	2	3	20	0	1	0	24	0	3	1	0	2	1	2	0	2	42	3	1	0	0	29	1	2	0	0	2	0	0	2	1	1	31	0	0	1	24	0	3	0	1	1	20	0	25	2	1	0	1	1	27	2	0	28	1	23	1	1	26	0	28	0	0	0	27	1	1	2	26	24	1	25	0	3	1	2	2	0	1	1	36	1	0	1	2	26	30	1	0	4	1	2	0	1	26	1	2
ind11	0	0	0	0	2	3	31	1	3	0	0	0	1	0	0	25	0	1	0	1	2	0	1	0	1	26	1	39	2	2	0	0	0	3	25	1	24	24	27	2	2	19	0	39	0	2	2	0	1	1	2	24	3	30	30	1	25	0	0	1	1	1	27	28	2	2	0	1	0	27	3	0	2	0	2	1	2	1	1	0	24	1	3	0	0	1	0	0	2	1	34	1	0	1	32	31	1	1	0	2
ind12	2	1	35	1	0	1	1	1	0	2	2	1	1	13	1	1	0	3	0	0	30	25	0	0	25	1	24	1	0	27	0	2	0	0	2	1	24	1	2	0	0	2	0	22	0	1	27	2	0	0	0	1	1	1	55	0	2	1	2	1	0	0	1	1	23	0	0	0	0	1	1	0	1	2	0	3	30	0	0	3	0	1	1	0	31	0	0	0	3	2	27	1	0	2	1	1	1	0	27	25
ind13	0	1	26	2	32	1	1	2	1	40	1	2	0	28	1	20	31	3	1	1	0	1	2	1	0	2	35	0	0	1	0	28	0	1	1	30	1	22	1	1	34	2	0	2	2	0	0	1	1	1	37	3	1	3	0	0	26	0	2	26	0	1	1	1	1	3	25	3	1	0	0	43	0	1	1	2	2	17	1	2	0	25	0	2	2	2	0	3	33	3	1	0	1	1	1	1	1	1	2	3
ind14	2	1	26	0	3	0	2	12	22	4	0	0	0	1	0	1	1	0	0	3	0	1	1	23	26	0	0	0	2	1	1	25	1	0	1	2	0	28	1	1	1	0	1	31	0	1	33	26	2	31	1	0	0	25	0	22	0	0	1	1	0	0	1	2	0	2	4	4	1	27	1	0	0	2	1	1	2	1	1	2	36	3	0	18	30	4	3	1	2	1	0	23	0	0	0	2	0	0	1	1
