loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20	loc21	loc22	loc23	loc24	loc25	loc26	loc27	loc28	loc29	loc30	loc31	loc32	loc33	loc34	loc35	loc36	loc37	loc38	loc39	loc40	loc41	loc42	loc43	loc44	loc45	loc46	loc47	loc48	loc49	loc50	loc51	loc52	loc53	loc54	loc55	loc56	loc57	loc58	loc59	loc60	loc61	loc62	loc63	loc64	loc65	loc66	loc67	loc68	loc69	loc70	loc71	loc72	loc73	loc74	loc75	loc76	loc77	loc78	loc79	loc80	loc81	loc82	loc83	loc84	loc85	loc86	loc87	loc88	loc89	loc90	loc91	loc92	loc93	loc94	loc95	loc96	loc97	loc98	loc99	loc100
ind1	5	0	10	8	8	8	1	4	1	5	3	4	12	13	0	0	0	9	4	5	7	6	0	0	1	3	0	0	5	1	0	0	0	1	13	0	6	9	2	0	3	7	0	17	0	0	5	6	1	1	0	1	5	0	5	9	0	6	6	2	15	11	3	0	5	0	3	11	5	0	0	0	0	6	12	9	8	6	6	14	1	0	8	5	0	0	1	4	0	0	0	15	1	10	7	12	0	0	3	7
ind2	0	4	3	19	7	8	0	10	1	0	0	0	4	4	10	8	2	0	0	0	9	0	0	12	5	0	10	0	0	0	3	5	7	5	7	0	1	6	0	0	2	9	0	4	6	5	0	0	5	2	0	1	0	6	7	5	2	7	1	0	0	1	18	5	14	0	5	4	10	6	4	0	0	19	11	3	18	3	1	4	10	3	0	11	6	2	0	1	8	0	0	5	1	9	2	0	7	0	6	5
ind3	0	0	12	0	0	7	0	1	7	0	5	7	1	5	0	0	8	6	1	5	17	5	1	0	4	0	0	6	0	2	0	5	4	9	1	0	4	13	1	7	6	0	7	15	8	11	4	0	2	8	0	6	0	0	0	5	7	0	0	0	0	4	8	12	0	0	0	0	0	5	0	0	0	0	1	0	6	0	4	5	0	1	0	5	8	8	10	6	5	4	0	0	3	3	8	5	9	0	6	6
ind4	0	0	0	4	12	7	15	14	1	4	0	0	0	0	10	0	1	2	0	8	5	1	0	4	7	12	0	0	0	1	7	5	5	7	8	14	12	3	9	5	0	0	10	9	0	0	6	6	7	0	9	5	1	4	0	8	3	0	5	6	0	0	6	0	1	6	6	12	2	4	8	1	8	4	3	10	0	0	4	14	3	9	4	14	0	3	5	4	7	1	4	13	0	2	0	0	4	0	11	9
ind5	7	11	12	0	5	13	5	0	5	7	5	5	8	13	2	4	17	0	0	10	0	1	0	3	7	0	1	0	0	1	0	0	9	0	0	0	6	0	1	4	10	0	3	2	0	16	23	0	7	1	5	1	0	5	12	4	5	2	11	11	0	5	12	0	8	10	2	0	9	1	5	0	7	0	0	0	0	1	0	1	10	0	7	1	4	11	14	0	4	0	1	8	9	1	0	0	1	0	1	0
ind6	8	5	7	0	0	0	14	6	7	5	2	7	1	3	0	0	5	7	8	3	0	14	11	0	0	0	11	5	2	0	0	5	1	7	0	9	1	1	0	10	5	0	10	0	0	7	2	8	3	2	3	10	0	4	9	0	7	0	2	0	6	0	0	11	0	1	2	8	11	0	0	0	4	5	14	6	5	4	0	12	2	15	8	7	0	2	4	0	3	13	5	0	6	8	0	0	4	18	0	4
ind7	0	17	5	0	0	0	0	3	0	4	8	13	3	0	1	5	2	3	2	1	0	0	2	2	4	0	1	1	6	4	6	0	18	0	1	0	0	7	10	6	0	6	11	4	3	0	2	0	5	1	5	5	0	8	13	19	0	13	9	13	7	0	4	7	5	0	3	0	4	5	1	6	1	14	0	4	1	1	13	6	8	11	3	8	0	0	7	0	10	0	0	7	0	7	0	4	6	4	10	3
ind8	0	6	5	3	0	1	4	0	14	0	0	0	3	0	4	0	0	6	3	1	0	0	0	0	2	0	5	0	2	0	5	4	0	10	4	0	6	0	3	8	0	7	0	5	1	5	7	0	1	7	13	0	0	0	13	6	10	0	7	12	12	0	0	0	4	5	5	13	0	0	5	0	0	6	9	0	0	0	8	0	8	3	9	0	0	2	11	0	0	3	2	5	0	6	0	0	12	0	0	11
ind9	8	0	7	12	5	7	0	5	7	0	0	2	0	0	0	0	0	7	9	0	0	3	6	0	0	0	0	0	6	0	1	1	4	0	0	1	0	6	0	11	0	0	1	5	0	0	5	7	0	4	1	16	8	7	0	6	5	7	16	8	4	0	7	8	0	6	4	15	0	12	5	0	5	3	16	12	0	0	0	0	1	0	0	10	9	0	5	0	9	0	9	5	3	9	4	5	0	3	2	11
ind10	0	6	3	0	6	0	12	0	0	12	4	4	4	0	13	5	6	5	0	4	10	6	3	0	5	0	5	6	0	0	11	8	2	0	0	4	0	8	3	0	5	0	5	0	0	0	3	10	1	10	11	5	4	0	0	0	7	1	1	5	8	6	11	6	8	0	7	0	0	3	4	10	0	3	2	5	5	5	9	1	0	0	0	0	5	0	0	7	8	0	12	1	0	0	0	5	0	4	6	0
