loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20	loc21	loc22	loc23	loc24	loc25	loc26	loc27	loc28	loc29	loc30	loc31	loc32	loc33	loc34	loc35	loc36	loc37	loc38	loc39	loc40	loc41	loc42	loc43	loc44	loc45	loc46	loc47	loc48	loc49	loc50	loc51	loc52	loc53	loc54	loc55	loc56	loc57	loc58	loc59	loc60	loc61	loc62	loc63	loc64	loc65	loc66	loc67	loc68	loc69	loc70	loc71	loc72	loc73	loc74	loc75	loc76	loc77	loc78	loc79	loc80	loc81	loc82	loc83	loc84	loc85	loc86	loc87	loc88	loc89	loc90	loc91	loc92	loc93	loc94	loc95	loc96	loc97	loc98	loc99	loc100
ind1	53	63	50	41	45	53	58	49	54	46	62	60	40	52	49	57	49	39	53	57	42	44	53	53	58	46	45	55	57	51	48	51	59	47	55	42	58	53	45	55	68	40	60	59	48	51	56	60	57	54	61	61	52	61	46	51	54	45	52	58	49	48	51	47	52	55	41	49	34	47	61	48	54	50	51	45	37	56	55	42	50	62	53	51	56	49	58	53	48	53	53	57	56	53	43	46	42	45	46	46
ind2	68	48	49	53	46	56	48	49	53	54	51	49	44	32	56	41	52	58	54	57	56	55	46	50	51	54	42	47	40	62	57	40	51	58	49	59	50	50	56	54	63	46	40	50	53	44	48	57	56	45	56	60	48	43	53	53	45	44	49	52	59	54	47	51	53	53	46	46	44	52	44	51	46	48	55	44	56	48	50	46	57	51	57	53	57	57	50	46	54	41	46	52	41	55	56	43	40	37	47	56
ind3	52	56	45	41	37	58	46	69	55	53	53	56	49	50	38	52	52	42	45	54	35	54	55	50	52	53	57	60	56	49	56	54	43	60	59	61	51	61	52	53	43	54	47	51	47	47	57	42	60	53	41	47	43	43	50	58	50	51	60	51	51	59	47	43	47	48	62	48	45	49	36	67	52	62	46	57	50	46	39	51	45	38	60	49	46	55	56	51	54	52	37	39	48	53	57	44	60	47	44	51
ind4	54	45	50	48	64	50	45	54	45	57	60	40	48	53	43	56	44	54	46	57	45	56	50	48	35	51	45	55	49	37	48	50	33	49	46	51	47	57	49	55	37	50	57	43	56	60	53	42	62	60	46	52	52	45	58	55	47	57	41	58	51	51	51	48	55	44	56	56	48	52	55	56	39	44	46	47	38	52	46	36	49	34	51	51	49	62	48	49	43	67	42	54	41	69	50	40	44	48	66	56
ind5	57	49	43	47	44	47	46	54	40	49	50	43	48	52	40	53	59	52	62	48	69	51	44	44	50	44	51	41	59	53	56	49	51	59	58	43	52	43	45	50	39	57	50	60	33	55	53	40	52	51	51	51	60	60	46	46	47	38	43	47	67	49	44	48	42	47	48	50	58	57	35	44	40	57	50	42	55	43	42	57	55	52	48	46	52	49	40	51	53	48	47	47	56	57	47	48	66	39	47	58
ind6	45	46	54	38	55	49	50	48	42	52	61	47	46	40	48	51	47	56	53	46	56	59	70	47	46	50	52	42	50	58	45	48	46	56	44	52	64	49	50	47	58	42	53	35	54	56	56	43	57	49	49	47	55	53	48	59	53	62	56	59	53	58	36	47	50	63	43	42	49	45	42	41	61	62	46	45	63	54	48	39	60	50	54	60	46	48	45	52	50	55	50	47	54	52	43	47	53	60	41	58
ind7	48	74	54	48	59	49	39	49	47	57	42	50	52	39	49	54	52	47	59	44	36	30	51	53	44	50	49	42	54	56	48	51	46	51	54	42	50	50	58	52	45	49	51	50	50	50	57	45	47	43	48	49	54	53	48	53	40	52	56	44	47	67	41	59	42	65	60	57	58	60	54	41	53	49	45	57	56	44	42	53	51	61	43	60	59	43	52	51	39	56	47	55	42	70	39	39	52	51	38	57
ind8	50	41	46	53	51	53	44	41	55	42	40	49	59	50	45	53	50	47	46	48	48	51	54	57	52	60	59	47	48	54	59	51	52	65	54	45	55	55	66	64	45	49	53	45	55	47	46	34	64	50	51	55	40	53	52	51	49	52	38	47	57	51	46	61	50	54	48	45	49	55	47	43	59	56	46	59	40	45	50	59	50	38	40	45	47	57	45	54	56	38	48	36	37	64	51	49	51	51	36	59
ind9	42	43	48	46	56	49	52	43	48	68	53	52	62	54	59	46	50	57	52	33	48	44	69	46	44	48	47	47	55	60	44	48	57	53	49	50	51	59	55	31	42	37	48	55	48	53	40	59	49	49	63	50	47	48	53	56	53	51	57	51	45	53	58	48	50	35	50	64	56	61	50	35	61	45	46	42	40	43	49	70	68	52	52	38	46	59	59	66	44	37	63	38	44	40	49	49	55	45	51	59
ind10	50	56	70	56	43	58	51	60	47	49	63	59	50	50	50	48	51	60	40	51	43	49	59	47	52	47	42	51	50	53	47	53	48	48	52	47	50	54	55	48	49	55	40	43	38	54	42	38	52	56	42	58	49	43	55	54	46	36	44	39	53	66	55	41	47	49	65	61	46	61	50	47	43	68	40	48	61	47	45	55	56	44	55	51	57	47	60	44	51	60	60	49	47	46	52	48	47	60	50	59
