loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20	loc21	loc22	loc23	loc24	loc25	loc26	loc27	loc28	loc29	loc30	loc31	loc32	loc33	loc34	loc35	loc36	loc37	loc38	loc39	loc40	loc41	loc42	loc43	loc44	loc45	loc46	loc47	loc48	loc49	loc50	loc51	loc52	loc53	loc54	loc55	loc56	loc57	loc58	loc59	loc60	loc61	loc62	loc63	loc64	loc65	loc66	loc67	loc68	loc69	loc70	loc71	loc72	loc73	loc74	loc75	loc76	loc77	loc78	loc79	loc80	loc81	loc82	loc83	loc84	loc85	loc86	loc87	loc88	loc89	loc90	loc91	loc92	loc93	loc94	loc95	loc96	loc97	loc98	loc99	loc100
ind1	55	55	45	44	54	41	45	57	53	39	57	38	42	51	37	56	54	40	58	51	52	49	58	42	49	48	49	61	52	38	60	44	46	53	59	51	47	56	53	57	37	61	48	58	57	46	61	53	57	58	54	54	64	57	47	51	43	58	47	50	26	52	46	63	58	51	43	52	49	61	59	53	52	44	67	33	50	57	54	50	53	48	57	40	42	50	41	58	50	61	48	59	53	56	44	45	53	56	50	51
ind2	46	47	48	41	57	56	47	60	43	47	47	54	55	53	54	57	45	64	48	43	60	47	53	40	42	50	52	55	56	46	55	54	48	49	45	56	50	50	55	40	51	57	52	49	55	47	54	54	63	53	38	42	52	47	57	58	41	51	44	48	46	57	49	63	50	49	58	54	66	47	54	47	46	57	47	42	57	53	35	48	49	47	43	36	49	49	35	52	46	42	51	56	43	41	44	58	49	50	41	60
ind3	57	44	45	48	50	52	37	59	52	49	41	50	62	46	47	37	48	49	38	47	48	51	51	56	39	37	48	52	46	39	56	42	41	54	39	56	36	56	57	63	40	53	37	53	43	44	48	49	45	58	49	51	46	60	47	53	50	44	60	53	40	50	49	43	52	51	41	53	44	50	55	46	51	41	50	48	53	54	41	53	49	43	48	50	53	47	51	54	47	49	41	57	43	44	47	41	56	50	45	42
ind4	47	73	51	40	53	42	52	41	50	48	41	55	38	40	49	61	49	40	47	44	63	49	43	58	53	43	53	56	60	53	52	49	53	49	43	51	44	48	49	56	51	57	46	49	38	55	48	45	45	65	61	56	59	42	47	39	51	47	47	46	41	44	58	50	41	47	36	45	46	50	55	56	46	55	66	59	46	68	41	50	44	47	53	47	40	40	49	45	63	44	42	49	56	42	57	53	50	39	51	39
ind5	42	45	49	61	50	52	40	51	41	40	53	47	46	69	52	49	34	53	51	40	60	57	59	57	50	46	49	46	57	57	46	58	39	58	48	52	54	46	72	52	59	37	55	52	53	60	57	53	39	48	69	51	40	49	46	45	44	42	55	38	48	43	57	54	49	47	47	43	48	52	50	45	51	46	53	48	39	47	59	52	49	52	59	46	53	48	52	56	37	50	44	41	52	56	55	57	69	54	46	58
ind6	49	57	60	45	57	43	58	51	57	51	42	43	53	52	42	54	56	58	54	41	59	55	54	50	40	38	53	45	55	46	45	52	55	51	58	60	40	59	45	54	42	52	55	40	48	47	57	54	46	43	53	43	40	41	56	38	42	48	37	37	59	44	55	57	47	41	55	50	49	57	62	64	39	46	46	46	40	50	60	48	53	54	37	47	46	34	56	55	57	48	45	47	41	60	62	47	39	59	41	37
ind7	52	55	58	63	64	58	49	47	48	42	58	43	43	43	52	54	50	55	47	37	50	54	55	53	60	41	53	51	49	53	43	47	47	51	54	54	42	51	49	47	47	41	41	53	50	50	54	58	46	59	53	50	58	54	34	54	53	52	44	47	51	50	48	44	46	65	48	41	53	47	46	58	44	55	56	56	52	34	51	44	63	43	49	42	51	51	49	53	59	49	52	61	53	47	46	42	67	60	49	59
ind8	46	58	51	50	48	51	67	59	64	61	53	44	48	52	59	51	52	56	42	43	49	52	44	53	49	39	53	52	50	55	49	67	49	46	52	59	56	41	59	52	35	41	44	42	45	52	52	50	43	49	53	48	54	52	39	33	45	53	57	52	55	48	56	55	55	57	52	55	49	46	54	51	52	48	51	49	44	43	49	55	45	51	49	55	67	48	56	47	50	51	45	32	55	49	52	44	57	43	49	50
ind9	54	44	61	57	54	47	59	62	59	65	54	43	48	45	68	53	52	51	67	48	36	45	43	47	48	50	52	45	51	51	58	44	59	49	63	62	54	38	47	50	47	46	47	59	54	55	50	49	49	57	49	44	55	49	56	51	50	46	50	59	48	59	51	49	56	51	43	39	52	46	47	44	39	54	44	54	46	48	48	60	59	52	57	42	45	40	57	48	59	46	51	58	49	61	51	49	58	55	56	44
ind10	48	47	42	46	43	46	44	44	52	53	48	50	66	42	34	50	44	62	46	49	49	61	49	61	37	62	62	34	49	41	57	50	51	57	47	48	49	35	48	42	59	51	48	51	63	52	38	43	49	50	43	35	49	47	43	50	63	46	59	49	51	48	52	58	47	55	48	51	51	46	48	55	49	60	59	51	37	59	44	56	40	48	42	38	42	57	62	51	50	37	46	54	55	52	54	54	53	51	54	40
