loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20	loc21	loc22	loc23	loc24	loc25	loc26	loc27	loc28	loc29	loc30	loc31	loc32	loc33	loc34	loc35	loc36	loc37	loc38	loc39	loc40	loc41	loc42	loc43	loc44	loc45	loc46	loc47	loc48	loc49	loc50	loc51	loc52	loc53	loc54	loc55	loc56	loc57	loc58	loc59	loc60	loc61	loc62	loc63	loc64	loc65	loc66	loc67	loc68	loc69	loc70	loc71	loc72	loc73	loc74	loc75	loc76	loc77	loc78	loc79	loc80	loc81	loc82	loc83	loc84	loc85	loc86	loc87	loc88	loc89	loc90	loc91	loc92	loc93	loc94	loc95	loc96	loc97	loc98	loc99	loc100
ind1	24	47	20	0	56	45	66	58	34	50	50	25	28	75	54	52	0	51	27	1	51	29	21	44	32	31	73	2	80	19	58	2	57	36	50	66	38	26	0	89	43	26	2	1	28	24	50	79	73	3	36	74	25	56	32	34	33	100	0	46	113	1	34	26	46	50	28	29	54	44	66	5	45	70	81	28	25	24	3	68	55	28	15	49	76	42	54	28	42	40	22	25	1	78	0	88	25	21	72	43
ind2	58	33	17	48	23	61	2	17	31	0	50	2	46	48	45	24	25	46	38	26	25	22	0	0	31	45	0	55	50	41	75	29	25	73	54	37	2	32	34	49	0	47	22	17	37	49	44	46	43	48	63	2	1	45	23	55	22	63	29	47	0	44	55	73	48	45	49	32	20	32	53	27	29	55	77	38	27	21	68	22	43	1	48	25	60	68	21	22	74	26	26	2	26	38	25	52	24	26	48	30
ind3	51	24	27	30	41	49	53	2	64	63	29	50	38	32	0	2	59	53	4	28	24	88	53	53	37	52	73	80	20	49	78	73	51	86	52	20	50	50	64	27	43	0	44	22	29	46	54	25	59	22	25	1	37	1	50	52	52	63	49	52	69	73	24	46	42	2	28	55	2	48	43	24	28	49	28	98	0	49	34	24	33	44	81	44	82	52	1	13	24	1	23	31	24	67	27	41	50	24	1	0
ind4	51	4	69	27	76	82	85	32	0	34	28	27	25	46	50	29	73	51	44	57	72	48	24	29	16	37	37	32	52	57	25	74	39	50	60	53	25	1	54	52	31	49	58	50	43	76	30	35	28	2	28	29	47	14	18	24	32	47	34	0	47	25	29	26	19	0	22	81	50	25	47	35	22	1	63	91	87	54	37	0	93	0	27	25	29	27	30	18	24	27	69	1	71	1	57	39	55	26	56	57
ind5	23	26	0	30	65	3	47	84	79	56	32	52	1	62	45	25	23	25	1	45	54	84	0	31	44	50	38	58	46	63	26	54	112	1	31	21	31	22	16	65	27	43	57	25	99	99	77	25	23	0	29	38	25	25	3	54	23	52	80	58	24	52	42	33	26	49	0	61	46	73	1	30	95	4	44	31	32	82	52	21	60	17	79	54	71	1	49	28	45	28	0	26	1	0	29	26	21	4	58	48
ind6	40	1	52	32	78	46	96	87	54	22	51	108	69	43	20	26	25	0	0	62	1	2	63	0	29	31	21	0	56	26	13	76	0	46	57	108	48	24	35	49	29	72	55	38	21	55	43	46	47	90	2	33	23	38	50	21	34	52	26	3	47	26	1	24	49	21	104	95	82	40	56	1	20	19	22	45	68	29	73	23	52	31	0	25	28	47	23	19	43	41	29	24	29	3	40	92	1	14	63	2
ind7	20	1	23	61	0	78	21	64	2	29	50	0	72	4	53	39	19	44	64	58	21	36	47	21	51	40	2	1	45	27	31	91	57	45	42	56	50	72	46	26	48	50	0	74	52	44	2	23	21	2	21	44	29	0	22	35	77	21	0	20	69	51	26	61	31	19	1	3	32	23	30	77	45	27	47	59	51	40	22	49	75	85	57	77	72	1	25	48	23	68	0	29	45	23	69	0	55	84	26	20
ind8	0	103	49	27	53	16	44	52	60	73	100	57	53	21	45	72	2	24	21	56	1	85	43	65	74	50	80	24	69	40	52	32	33	55	0	56	73	18	53	27	30	2	53	67	27	32	48	1	61	33	46	41	23	49	52	57	55	94	56	36	26	29	75	3	37	0	26	65	0	27	50	51	70	51	76	38	2	101	34	24	3	46	37	56	21	1	47	48	1	52	49	42	0	57	51	28	45	22	53	64
ind9	22	72	1	20	1	78	77	29	25	70	2	0	24	69	90	31	28	17	1	27	16	53	55	31	0	13	75	54	46	35	29	51	28	51	19	49	2	1	72	2	1	51	78	0	17	55	54	23	49	27	45	57	28	47	55	64	59	59	84	84	18	19	73	52	97	58	2	2	64	3	35	0	60	0	24	54	56	21	18	46	30	22	60	31	1	27	21	2	39	23	51	28	46	33	19	81	20	71	78	79
ind10	60	73	53	0	27	53	21	44	20	47	48	58	21	69	49	31	26	52	102	60	48	47	31	1	28	0	31	26	44	52	23	22	26	21	88	27	29	31	35	57	3	0	29	23	26	61	71	25	54	27	32	22	19	45	74	56	3	71	44	26	44	85	53	59	22	83	14	2	70	120	41	39	38	27	54	84	68	53	49	0	60	18	25	25	48	45	17	24	20	46	80	0	25	21	61	1	27	26	21	70
