loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20	loc21	loc22	loc23	loc24	loc25	loc26	loc27	loc28	loc29	loc30	loc31	loc32	loc33	loc34	loc35	loc36	loc37	loc38	loc39	loc40	loc41	loc42	loc43	loc44	loc45	loc46	loc47	loc48	loc49	loc50	loc51	loc52	loc53	loc54	loc55	loc56	loc57	loc58	loc59	loc60	loc61	loc62	loc63	loc64	loc65	loc66	loc67	loc68	loc69	loc70	loc71	loc72	loc73	loc74	loc75	loc76	loc77	loc78	loc79	loc80	loc81	loc82	loc83	loc84	loc85	loc86	loc87	loc88	loc89	loc90	loc91	loc92	loc93	loc94	loc95	loc96	loc97	loc98	loc99	loc100
ind1	0	4	0	8	7	0	6	0	0	0	0	1	9	1	1	4	0	1	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	7	1	6	0	0	0	0	0	1	1	7	0	0	1	0	1	0	0	0	5	0	0	1	7	0	0	0	0	8	0	0	0	0	0	4	0	0	5	3	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	6	0	1	0	0	0	7	0
ind2	1	0	0	1	0	6	7	0	0	5	0	0	7	0	0	1	0	0	0	1	0	1	0	11	0	0	0	3	2	6	0	0	0	0	0	0	0	0	5	0	5	4	6	7	0	0	2	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	6	1	1	0	1	0	11	0	0	5	0	1	6	0	0	0	0	1	2	0	0	0	0	0	1	0	12	0
ind3	1	0	0	8	0	1	0	4	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	10	5	3	0	1	0	0	0	1	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	1	1	0	0	3	0	0	0	0	2	0	3	9	3	0	5	0	0	1	0	1	0	0	7	0	6	0	0	0	0	0	0	0	1	0	0	0	1	0
ind4	9	0	0	0	1	0	9	0	0	0	0	1	0	2	0	1	1	9	1	3	0	0	0	0	0	0	0	2	1	5	0	0	0	0	6	2	0	0	7	1	0	0	0	0	0	0	5	4	0	4	8	0	0	0	0	0	0	0	0	5	1	0	10	1	0	0	0	1	1	4	9	0	0	1	4	0	7	0	2	5	0	0	4	0	0	0	0	0	6	0	1	0	0	0	1	0	0	0	0	0
ind5	0	0	0	0	0	0	5	7	0	1	0	8	0	0	0	0	0	0	0	1	5	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	5	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0	6	0	0	0	10	0	1	0	1	0	1	0	0	0	0	1	0	0	0	7	0
ind6	0	6	0	0	0	0	0	1	0	5	0	1	0	0	0	1	0	0	4	0	0	2	0	0	0	0	0	0	0	1	0	4	1	1	0	0	0	0	8	0	0	0	8	0	4	0	0	0	0	0	0	4	0	7	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ind7	0	0	0	8	2	0	0	0	2	0	0	0	0	6	4	0	0	0	1	1	7	0	0	1	1	0	0	13	0	5	1	0	0	0	9	8	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	3	0	4	0	4	0	0	0	4	1	4	0	0	0	1	0	0	0	1	4	0	0	1	0	0	1	1	0	0	1	0	5	1	0	0	1	0	0	5	0	0	0	0	0	0	0	0	1	0
ind8	3	0	0	0	1	0	4	0	0	1	0	0	0	6	0	0	0	0	0	0	1	0	7	0	0	4	0	0	0	0	0	0	1	0	0	0	5	6	0	0	0	0	1	0	0	0	1	9	0	0	1	1	0	0	0	0	0	0	1	0	0	6	0	0	3	0	10	0	2	2	0	1	1	0	1	0	0	0	4	0	4	0	8	3	2	0	1	6	1	0	1	3	0	0	0	7	1	0	3	0
ind9	5	1	1	0	0	0	0	1	6	0	4	1	0	0	0	0	3	1	1	0	0	8	0	0	0	6	0	7	0	0	6	6	0	0	0	9	0	1	0	1	1	0	1	4	1	2	7	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	6	0	0	2	1	5	1	1	0	0	0	2	7	0	0	1	9	0	0	0	0	8	3	2	0	0	4	0	0	0	0	1	5	4
ind10	0	0	0	0	6	1	4	8	3	0	0	5	8	0	2	0	0	0	2	2	0	1	6	0	4	0	2	0	0	0	2	0	0	5	0	0	0	6	0	2	0	6	6	0	0	0	0	1	0	0	0	0	1	0	0	0	7	1	0	0	0	0	1	0	8	1	0	0	0	0	4	7	0	0	0	0	0	0	0	12	1	0	3	6	1	0	8	0	0	0	4	0	0	0	0	1	0	0	0	6
